id,birthday,weight,height
1,4/28/1982,96lbs,6'8”
2,03-04-1982,293,6'7”
3,10/15/1953,207,6'7”
4,05/28/1962,315,6' 7”
5,03/19/1962,330,5'3”
6,12/03/1965,192,5'2”
7,12/07/1981,175,5'
8,07/05/1988,235#,5'0”
9,03/23/1988,345,5'4”
10,04/06/1948,80#,5' 3”
11,09/10/1990,117,4'8”
12,06/30/1972,347lb,6'3”
13,10/06/1971,185,6' 8”
14,10/15/1986,325,4'8”
15,7-15-1984,294,4' 9”
16,1-28-1960,274,5 ' 1”
17,03/25/1953,307,4'7”
18,06/08/1954,131,6'7”
19,01/06/1984,170pounds,5'10”
20,02/12/1951,199,6' 2 “
21,03/06/1990,112,6'4”
22,05/22/1960,281,5'3”
23,06/01/1961,244,6'8”
24,04/25/1940,146,5'5”
25,12-31-1944,325,4' 11”
26,05/24/1962,267lbs,5'5”
27,06/29/1954,289, 5'6”
28,10/19/1955,87lb,6' 4 “
29,07/17/1979,321,4' 8”
30,02-11-1965,134,6'
31,04/03/1975,297,6'8
32,04/22/1981,202,5'1”
33,06/06/1979,Lbs:322,5'11”
34,10\30\1947,312,5'3”
35,01/12/1983,238,6'4”
36,11 06 1974,lb: 81,6'11”
37,03/06/1974,329,5'4”
38,05/31/1949,251,6'0”
39,07 05 1967,264,4'7”
40,01/27/1987,115,5'7”
41,07/01/1967,83#s,4' 11
42,01/26/1968,228,5' 7”
43,12/27/1944,284,6'3”
44,08/27/1966,Weight: 227lbs,6'
45,11 02 1978,93,5'7”
46,11-26 -1961,82lb,4'7”
47,06/03/1957,202,5' 8 “
48,10/30/1987,315,4' 10”
49,02/05/1940,312,5' 7”
50,05/02/1980,106lb,6'2”
51,10 / 05 / 1973,154,4'8”
52,05/25/1940,251;b,4' 8 “
53,08/31/1942,139,6'1”
54,06/12/1978,331,5'11”
55,03/27/1946,330lb s,5'6 “
56,03-20-1943,99,5' 9”
57,11/16/1962,285,4'8”
58,07 – 29 – 1949,234,4' 11”
59,03/12/1962,192,5'3”
60,01/09/1974,253,6'5”
61,10-05-1988,205lb,4'10”
62,04- 26-1964,140 lbs,6'8”
63,08 25 1981,257,4'9”
64,08/06/1944,338,6'0
65,01/07/1939,254-lbs,6'5”
66,09 / 21 / 1946,208,6' 3 “
67,12/04/1953,Weight: 130,4'10”
68,06 | 24 | 1980,270,4'9”
69,01/20/1944,260,6'6”
70,09/25/1955,160,6'6”
71,11 – 14-1940,112#,6' 2”
72,10/28/1964,83,6' 7”
73,08/21/1990,Wights:326,6'6”
74,12/11/1947,239,4'9”
75,02/27/1943,348,6' 8”
76,08/14/1946,250,5'6”
77,07/07/1985,272,5' 6 “
78,11\16 \1946,309,5'9”
79,12/31/1954,247,4' 10”
80,04/25/1954,83,6'1”
81,02\14\1960,192,6' 1”
82,05/25/1954,237,5 '7”
83,08-18-1964,260,5'10”
84,07/08/1983,212#s,5'8”
85,12- 13 - 1968,281,4'9 “
86,07/28/1972,154lb,5'1”
87,09/03/1982,296,5'5”
88,04/27/1950,Weight: 163,4'10 “
89,02|12|1990,212,6 '2”
90,03/08/1947,82,6'5”
91,05/14/1977,117,5'5 “
92,07 / 04 / 1967,212,5 ' 9 “
93,11/24/1955,219,6'8”
94,10/23/1969,166lbs,6'3”
95,04/27/1968,295,6' 2”
96,02|27 |1965,219,5' 3 “
97,12/20/1974,316,5'3”
98,02\21\1968,324,4' 10”
99,06/08/1976,111,5'4”
100,02/22/1966,284,6 ' 5 “ 
